DATE,Vin,Iin,Pin,Duty rate
'2022/8/12/10:38:21',19.236,0.179,3.443,29.2
'2022/8/12/10:38:22',18.233,0.044,0.802,27.1
'2022/8/12/10:38:23',19.242,0.204,3.925,25
'2022/8/12/10:38:24',19.651,0.05,0.983,27.1
'2022/8/12/10:38:25',19.24,0.204,3.925,29.2
'2022/8/12/10:38:26',18.348,0.019,0.349,27.1
'2022/8/12/10:38:27',19.249,0.205,3.946,25
'2022/8/12/10:38:28',19.652,0.049,0.963,27.1
'2022/8/12/10:38:29',19.246,0.201,3.868,29.2
'2022/8/12/10:38:30',18.296,0.063,1.153,27.1
'2022/8/12/10:38:31',19.264,0.204,3.93,25
'2022/8/12/10:38:32',19.654,0.049,0.963,27.1
'2022/8/12/10:38:33',19.251,0.205,3.946,29.2
'2022/8/12/10:38:34',18.273,0.026,0.475,27.1
